,input,filtered,denoisedF,denoisedR,merged,nonchim
283,8783,6787,6580,6521,5577,5573
188,12499,10230,10053,9994,9420,9393
238,16804,12785,12401,12473,11582,11561
193,15620,12721,12530,12572,11967,11952
184,16089,13414,13202,13277,12946,12694
190,18453,14093,13776,13790,12750,12736
287,18371,14122,13886,13968,13427,13424
284,19775,15308,14994,14995,14022,14009
291,20673,16585,16208,16283,15112,15109
290,20833,16899,16442,16537,15300,15290
282,21091,17038,16649,16781,15545,15522
147,20992,17733,17298,17437,16127,15974
186,22655,17983,17503,17622,16050,15976
293,23556,18164,17771,17853,16221,16215
286,24492,19698,19385,19459,17967,17932
234,24548,20390,20169,20191,18488,18485
202,24737,19471,19234,19316,19104,19097
266,28706,22009,21597,21776,19845,19797
261,28911,22533,22175,22215,20941,20866
187,31564,24410,23911,24055,21106,20938
192,31421,24074,23749,23839,22506,22465
319,33678,27281,26793,26988,23839,23793
339,35545,28550,27240,28016,24499,24128
360,36849,29777,28939,29322,25540,25206
268,34266,28065,27390,27727,26099,26069
356,35468,27631,27357,27415,26204,26121
185,38458,29572,29050,29342,27408,27402
383,41834,32954,32352,32589,29455,29411
214,42154,32885,32272,32557,29565,29503
245,45723,36530,35964,36219,31708,31612
349,50060,39745,39469,39524,37351,36019
333,49542,38998,38589,38713,37563,37294
235,65827,51271,50253,50679,43043,42870
378,62669,50050,49558,49724,44810,44729
116,65845,54267,50420,52743,44950,44766
241,61038,50019,49479,49707,46487,46352
371,64329,51767,51320,51548,48868,48752
380,76756,58952,57763,58384,52559,52110
280,80625,63741,60062,62591,52833,52379
142,74020,61780,60848,61427,53723,53143
112,71712,57354,56148,56730,53816,53703
363,75856,60094,59385,59633,55518,55198
320,90565,69991,66066,68932,57956,57324
369,88029,71538,65627,69828,59627,58419
226,90857,73277,68357,71921,59836,59185
375,83967,65124,63880,64588,59480,59288
136,82946,66254,65230,65704,60212,60165
194,82162,64955,64324,64689,60503,60467
350,87437,68711,67987,68132,61976,61398
289,82375,66975,66298,66746,62119,61666
134,80297,64406,63901,64065,62146,61996
237,89453,72314,71294,71738,63351,62695
216,93370,71134,69980,70735,63960,63650
276,91432,73598,69810,72209,64367,64099
373,104293,75715,72301,74758,65524,64822
240,86283,69286,68048,68188,65069,64937
343,113293,90428,81831,87561,69522,65181
175,109834,81904,76726,80290,66714,66048
222,90622,75489,72860,74408,67201,66686
232,101184,80666,78943,80094,68554,68184
253,89093,73337,73007,73175,68865,68572
143,108679,78396,77337,77895,69230,68954
150,93449,76746,75041,76031,69185,69091
247,95357,76831,76009,76300,70051,69578
254,98198,78356,77401,77863,70007,69857
243,102676,82123,80589,81340,70669,70483
255,113467,86843,85472,86170,73610,73375
273,104687,84988,79419,83632,74001,73458
292,122413,83707,81806,83002,74439,74353
127,108878,83343,82193,82406,74599,74483
260,111249,90788,86528,89207,77154,74640
256,105634,84590,83096,83965,75594,74715
158,101490,81601,80152,81020,74971,74727
129,107603,85932,84512,85200,76379,76187
173,100129,80895,79637,80273,76429,76253
239,114897,85807,84652,85141,77136,76878
262,102161,80788,80263,80452,78813,77667
362,106680,85977,84123,85187,78521,77786
347,107301,88093,86561,87217,79480,78266
372,122121,94201,91431,92945,83433,78603
181,115952,90208,88308,89471,80203,80115
248,106558,87095,85391,86430,80576,80449
148,118743,94223,91446,93076,81249,80981
162,123805,101374,99865,100756,81308,81024
370,123464,97108,94146,95988,85926,82329
227,112818,93364,92023,92628,84853,84617
178,145417,112209,105689,110118,89943,85154
182,121562,97450,93069,96048,85699,85182
174,129288,100875,97574,99510,85958,85217
342,137548,111729,106299,109182,91589,85470
288,115336,93471,92522,93172,86487,86268
311,138868,111886,104008,109285,89070,86609
206,124051,102418,98740,101111,87518,86941
274,126671,101393,97414,99920,88514,87278
204,132933,104148,99504,102556,88366,87660
337,166601,131578,120374,127487,98587,87706
249,130716,102563,99583,101295,88165,87918
364,121841,96299,94103,95508,88043,87928
110,122265,99033,97542,98378,88240,88101
108,128095,100717,98896,99903,88581,88178
221,123618,102117,99554,101044,88686,88288
379,124604,100338,98571,99560,90251,88308
140,130472,101438,97468,99982,89817,88729
106,134078,107597,101898,105578,89866,88778
105,127124,103759,101992,102797,90750,90568
163,120072,96504,95066,95794,91057,90668
285,119822,97904,96666,97362,93488,90988
138,125216,100374,98012,99424,91880,91625
357,121840,98320,97793,97982,93521,91900
231,141122,114326,108871,112531,92897,92120
